t|b
巴塞尔 找 一 名 司机 陪练|" 本 帖 最后 由 benjaminff 于 2012-12-322:06 编辑
本人 现在 有 车 ， 已经 学 车 半 年 ， 开车 尚可 ， 现 处于 路 考 阶段 ，
现 找 一 名 陪练 ， 要求 有 瑞士 或 瑞士 承认 的 3 年 以上 驾 龄
价格 ， CHF 25.00一 小时 。
本人 住 巴塞尔德国 火车站 附近
有意者 ， 请 发 邮件 至 benjamin-feng@ hotmail.com
或者 QQ469 2030 "
苏黎世 中餐 找 厨师|苏黎世 中餐 找 厨师 要 有 证 不 包住 电话 0786968688
Neuchatel 中餐馆 找 一 名 有 证实 习生|" 本 帖 最后 由 漂流 swiss 于 2012-12-323:13 编辑
帮 朋友 发帖 ， 餐馆 位于 在 NEUCHatel ， 找 一 名 有 证 的 实习生 ， 一月份 就 开始 上班 ， 工资 和 条件 ， 你们 自己 跟 我 朋友 谈 ， 有 兴趣 的 朋友 ， 请 你们 与 我 朋友 本人 联系 ， 联系 电话 是 0788508823 ， 0244814141 非 诚勿扰 "
日内瓦 小型 公司 找 一 名 中国 销售|一 家 小型 瑞士 日内瓦 公司 招收 一 名 中国 人 , 要求 英语 流利 , 普通话 . 有 国外 或 国内 销售 经验 . 实习 或 工作 , 全职 或 业余 均 可 . 有感 兴趣 的 请 把 简历 发 到 memberships@hosco.com. 公司 在 stand 附近 . 谢谢
招 保姆 兼 楼面|小孩 白天 上学 ， 欲 找 一 有 爱心 的 女孩 ， 可 作 楼面 ， 和 陪伴 小孩 。 工作 轻松 ， 工资 面议 ， 有意者 打电话 076 3989063 。
找 厨师 或 帮厨|" 找 厨师 或 帮厨 ， 包 吃 住 ， 工资 面谈 。
请 留下 联系 方式 ， 可 发 站 内 短 信 。 "
招 兼职 保姆|montreux 附近 招 周末 兼职 保姆 , 时间 是 周五 晚上 , 周六 和 周日 全 天 . 要求 有 责任心 , 对待 小孩 有 耐心 . 有意 者 请 站 内 留言 . 谢谢
招聘 女服务员|要求 法语 流利 . 地点 洛桑 . 待遇 面议 . 有 兴趣 请 站 内 留 短 信 . 非诚 勿 扰谢谢 ！！ ！！ ！
vevey 附近 中餐厅 现 正在 招聘 一 名 酒店 实习 学生|" 你们 好 ， 本 中餐厅 现 正在 招聘 一 名 酒店 实习 学生 ， 可 于 1 月 中旬 或 2 月 初 开始 ， 实习期 为 6 个 月 ， 工作 合同 为 瑞士 法定 合同 。 实习 期间 包 吃 住 ， 由于 要 和 其他 女孩 合住 一起 ， 所以 只能 找 个 女生 ， 谢谢 理解 。 请 感 兴趣 的 朋友 和 我 联系 ， 交流 细节 问题 ， 谢谢 。
07883 13927 visclou@ yahoo.com"
苏黎世 中餐 招 帮 厨|机场 附近 中餐 招 有 经验 的 帮厨 一 名 电话 0435376274
lausanne 中餐厅 正 招聘 酒店 实习生 一 名|你们 好 ， 本 中餐厅 现 正在 招聘 一 名 酒店 实习 学生 ， 可于 12 月 中旬 开始 ， 实习期 为 6 个 月 ， 工作 合同 为 瑞士 法定 合同 。 实习 期间 包 吃 住 ， 由于 要 和 其他 女孩 合住 一起 ， 所以 只能 找 个 女生 ， 谢谢 理解 。 请 感 兴趣 的 朋友 和 我 email 联系 ， 交流 细节 问题 ， 谢谢 。 visclou@ yahoo.com
代 老板 招人|" 本 帖 最后 由 caozhen 于 2012-11-2421:11 编辑
已经 找到 了 效率 啊 "
找 楼面|" 中餐馆 位于 沃州 乡下 。
招收 一 名 长期 楼面 （ 女性 ） 。
能 熟练 接听 订餐 电话 。 （ 法语 ）
善于 沟通 ， （ 有 餐馆 经验 为佳 ） 。
联系 电话 ： 07888622 41
有意 电话 咨询 ， 谢谢 ！ "
中餐 招聘|帮 顶··· 希望 是 个 好 老板 (s2115a)
瓦莱州 , 在 Aigle 附近 找 一 名 周五 兼职 .|中餐 在 瓦莱州 , 在 AIGLE 附近 , 找 一 名 本 周五 ( 11 月 23 号 ) 晚上 兼职 . 有 意者 可以 和 我 联系 : 0762387722
想 找个 人 带 小孩 ， 只要 每天 早晨 3 小时|" 由于 工作 关系 ， 想 找 个 有 证件 的 人 ( 学生 或者 居住证 都 无所谓 ） 帮忙 带 小孩 ， 地址 为 洛桑 儿童 医院 附近
时间段 如下 ： 星期二 到 星期五 ， 早晨 8 点 到 11 点 ， 主要 目的 只是 不 想 让 小孩 一个 人 在家 ， 只 需要 保证 小孩 的 安全 ， 基本 不 需要 做 什么事 ， 这 3 个 小时 可以 开启 电视 或 电脑 给 小孩 看 ， 然后 偶尔 陪 他 玩玩 。
要求 要 有 爱心 ， 有 责任心 ， 人品 合格 ， 女性 有 意者 请 联系 07630 42126 （ 最 好 中午 和 晚上 5 点 过后 ） "
找 一个 住家 保姆|我 有 一个 女孩 ， 4 岁 ， 现在 想 找 一个 住家 保姆 照顾 孩子 ， 包 吃 住 ， 每周 两 天 休息 ， 报酬 面议 ， 谢谢 。 07883 13927
Fribourg 中餐馆 招 帮 厨 一 名 （ 代 发 ）|" 代 发 招聘 启示 ：
Fribourg 中餐馆 招 厨房 帮厨 一 名 ， 要求 有 证 ， 包 吃 住 ， 工作 时间 ： 周一 至 周六 ， 早上 9 点 至 下午 4 点 ，
具体 详情 请 致电 0788463419 ， 老板 姓 陈 。
ps ： 不要 发 站 内 信 ， 我 只是 代 发 ： ） "
nyon 中餐 招 兼职 楼面 已 找到 谢谢 ~|" 本 帖 最后 由 qimaybe 于 2012-12-913:35 编辑
一 周 上 1 到 3 个 晚上 ， 6 点 到 十点 这样 。 要 会 做 的 。 最好 是 女 的 "
vevey 附近 中餐 正 招聘 女服务员|大家 好 ， vevey 附近 中餐 正 招聘 女服务员 ， 工作 要求 法语 流利 ， 服务 态度 好 ， 有 经验 。 餐厅 包 吃 住 ， 具体 的 酬劳 我们 详谈 ， 会 做 得 双方 都 满意 。 我 的 电话 是 07883 13927 ， 谢谢 。
招聘 11 月 22 日 Grenchen （ 靠近 伯恩 ） 德国 口语 翻译 一 名|" 因 公司 需要 在 的 Grenchen 与 外方 单位 有 一 场 关于 住房 的 会议 ， 需要 招聘 一 位 德国 口语 翻译
要求 ： 德语 口语 流利
会议 时间 ： 11 月 22 日 下午 1 点 开始 会议 在 两 小时 左右
地点 ： Grenchen （ 靠近 伯恩 ） 所以 伯恩 朋友 有 时间 也 可以
报酬 以及 支付 方式 ： 联系 上 具体 谈
联系 方式 ： MSN/MAIL : omylxs@ hotmail.com
QQ : 104 3015115 "
11 月 25 号 想 找 位 同学 陪 客户 去 少女峰 游览 ( 谢谢 大家 的 电话 ， 已 找到 几 位 候选 了 ， 谢谢 你们 )|" 本 帖 最后 由 Zugylj 于 2012-11-1417:43 编辑
谢谢 大家 的 电话 ， 已 找到 几 位 候选 了 ， 谢谢 你们
大家 好
我们 公司 想 找 一个 住 在 苏黎世 或者 附近 的 同学 带 两 个 客户 去 少女峰 玩 ， 时间 是 下 周日 11 月 25 号 。
我们 公司 会 帮 你们 报 个 bus 团 从 苏黎世 火车站 出发 。 中午 吃饭 的 餐费 我们 也 会 支付 。
额外 给 你 100 法郎 酬劳
你 如果 没有 去 过 少女峰 那 最 好 了 ， 顺便 玩 一 趟 ， 同时 挣点 一点点 零花钱 。
另外 11 月 24 日 周六 下午 他们 两 人 到 苏黎世 机场 ， 希望 你 能 去 机场 接 他们 一下 然后 送 到 苏黎世 的 宾馆 ， 交通费 我们 会 支付 ， 接到 他们 带 着 他们 乘 公交 或者 打车 到 宾馆 即 可 ， 我们 支付 80 法郎 。
一共 是 180 法郎 如果 对 价格 不 满意 我们 还 可以 谈
希望 愿意 做 的 同学 和 我 联系 我 的 号码 是 076/7146097
谢谢 "
急 询 11 月 19-21 号 苏黎士 英语 翻译 - 银行 金融 方向|" 本 帖 最后 由 berg 于 2012-11-1412:55 编辑
欧洲 最 大 的 华人 以及 中国 十 大 旅游 批发商 凯撒 旅游 集团 急 询 英语 公务 翻译
地点 〉 苏黎士
日期 〉 19 号 上午 ， 20 号 下午 ， 21 号 上午
要求 〉 具有 银行 或者 金融 专业 背景 的 大学生 ， 学者 等 英语 翻译 专业 人士
工资 〉 邮件 或 电话 询问
联系 方式 〉 jingru.yu @caissa.de
电话 〉 00 491724089078 ( 德国 总部 电话 ) 已经 找到 人 了 。 谢谢 大家 关注 。 "
急 苏黎世 伴游|工资 多少 呀 。 。 来回 火车票 呢 。 啊哈哈哈哈
fribourg 找 女士 带 孩子|" 本 帖 最后 由 兜 内 米 168 于 2012-11-915:49 编辑
急需 1 位 女士 带 孩子 一个 礼拜 休息 一 天 包 吃 包住 。 工资 面议 有意者 联系 0763 29 1688 Q632 911543"
巴黎 本地 专业 摄影师 一 名|明年 5 月 中旬 。 主题 为 婚纱 摄影 。 有意者 请 联系 ： 杨 小姐 ： 0041767 176299. 邮箱 ： yangfan_197998@ hotmail.com. 工资 商议 ！
找 服务员|" 本 帖 最后 由 freesky 于 2012-11-150 2:39 编辑
中餐厅 ， LUZERN 04 19701779 找 服务员 一 名 ， 包 吃 住 ， 要求 会 德语 ， 有 经验 ， 吃苦耐劳 "
苏黎士 附近 中餐 招 楼面 长工|" 餐馆 位置 在 离 苏黎士 坐 火车 25 分钟 左右 . 欲招 一 名 楼面 长工 . 要求 有 证 . 可以 包住 .
有意 的 朋友 请 联系 0449261418 详谈 , 谢谢 "
招聘 帮厨 一 名 ！ （ 已 找到 ）|" 本 帖 最后 由 lam 于 2012-11-210:06 编辑
暂时 已经 找到 人 。 谢谢 ！ "
找 一个 楼面|找 一个 楼面 . 要求 会 基本 德语 就 好 . 帮忙 点菜 出菜 . 店 的 苏黎世 附近 .12 月 1 号 到 12 月 9 号 .9 天 时间 . 包 吃住 . 联系 电话 .07 67897259 QQ ; 7534 4579
招 服务员|招 服务员 ， 包 吃 ， 包住 ， 工资 打电话 问 老板 ， 电话 ： 0792108042 （ 帮 朋友 登 ， 所以 站 内 留言 一概 不 回 ）
急聘|moudon 杨杨 中餐 需要 一 名 服务员 , 请 有意者 电联 老板 07921080 42
苏黎世 餐厅 酒 吧 卡拉 OK 招 女 实习生 1 月 开始|" 包 吃 不 包住 3000 到 手 一个 月 工作 性质 餐厅 服务 调酒 有意 请 电话 0763021899 胡 先生
最好 有 做 过 餐厅 的 "
苏黎世 近郊 中餐馆 诚聘 厨师 和 服务生|D ü bendorf 即将 开业 的 中餐馆 诚聘 厨师 一 名 和 服务生 一 名 ， 工作 全职 ， 长期 ， 包 吃 不 包住 。 要求 ： 有 瑞士 居留 或 欧盟 护照 。 另外 ， · - 厨师 要求 有 五 年 以上 在 欧洲 中餐馆 的 工作 经验 · - 服务生 必须 会 基本 德语 和 相应 的 工作 经验 地点 ： D ü bendorf 火车站 ， 乘 S9 到 苏黎世 火车站 10 分钟 的 火车 车程 时间 ： 2013 年 5 月 开始 联系 方式 ： asianexpressch@ yahoo.com 欢迎 符合 条件 的 有意者 联系 。
求 电脑 高手|" 有 公司 需 重装 一 台式机 系统 和 办公 软件
地点 在 洛桑 靠近 Renen ， 有 公车 直达
求 有空 的 电脑 高手
有偿 "
洛桑 找 兼职 保姆|洛桑市 中心 找 兼职 保姆 ， 看 一 名 2 岁 半 男孩 ， 有 责任心 ， 对 孩子 有 耐心 。 每周 最少 2 天 。 联系 电话 0764290964
洛桑 中餐馆 招 楼面 一 名|洛桑 郊区 中餐馆 招 楼面 一 名 ， 长工 ， 包 吃 不 包住 ， 可以 马上 上班 ， 最好 有 一定 经验 电话 0794 450268
瑞士 lfs 羊 胎素 公司 驻 上海 代表处 招聘|" 瑞士 lfs 羊 胎素 公司 驻 上海 代表处 招聘
市场部 和 销售部 文员 ， 和 项目 经理
有意者 投 简历 到 kingkao1201@ yahoo.com.cn
工作 地点 是 上海 的 金茂大厦 ， 待遇 从 优
我们 的 网站 是 www.lfsscn.com
瑞士 联系 人 ， 高 先生 ， 0 794353955 "
|
再 招收 楼面 一 名|" 沃州
招收 楼面 一 名 , 女性 .
懂法语 ，
能 熟练 的 接听 订餐 电话
有 一定 的 餐厅 工作 经历 。
本 餐厅 提供 吃 住 .
薪资 面议 .
联系 电话 ： 764509322
请 有意 向 者 直接 致电 洽谈 。 "
招聘 临时 楼面|找 一个 熟练 的 楼面 . 要求 会 德语 . 必须 有 经验 的 . 店 的 苏黎世 附近 .12 月 1 号 到 12 月 9 号 .9 天 时间 . 包 吃住 . 联系 电话 .07 67897259
洛桑 中餐 招 楼面|洛桑 郊区 中餐馆 招 楼面 一 名 ， 长工 ， 包 吃 不 包住 ， 可以 马上 上班 ， 最好 有 一定 经验 电话 0794 450268
日内瓦 - 孩子 看护|大家 好 ， 我家 想 请 一 位 阿姨 帮忙 照顾 小宝宝 ， 中午 12：30 开始 ， 到 下午 6 点 左右 ， 每周一 到 周五 。 如果 时间 排 不 开 ， 一 周 3-4 天 也 可以 。 工资 按 月 结算 ， 待遇 从 优 ， 希望 长期 合作 ， 不用 负责 家务 。 有意者 请 站 内 联系 ， 谢谢 。
洛桑找 看 孩子 阿姨|同事 住 洛桑 ， 想 找 个 阿姨 看 小孩子 （ 男孩 ， 三 岁 半 ） ， 早上 8 点 到 11 点 ， 周 一 到 周五 ， 联系 电话 07630 42126 ， 联系 时间 ： 11:00-18:00
急急急 。 。 。 找月嫂 一个 礼拜 帮忙|洛桑 上面 请 一个 月 嫂 一个 礼拜 。 。 。 价钱 电话 谈 。 。 或者 面谈 。 。 。 不 会 太 低 。 。 在 这个 月 25 号 开始 。 。 。 0767 189007
招聘 寿司 师傅|洛桑 招聘 寿司 师傅 只要 会 熟练 的 包 寿司 就 可以 包 吃 住 工资 2500 加 小费
招收 帮厨|" 沃州
招收 长期 帮厨 一 名 , 男性 .
有 一定 的 厨房 工作 经历 。
本 餐厅 提供 吃 住 .
薪资 面议 .
联系 电话 ： 764509322 "
招聘 val-de Travers 翻译|" 招聘 val-de Travers 公务 翻译 一 位 。 时间 ： 10 月 22 日
地点 ： val-de Travers 政府
要求 ： 英语 或 法语 流利 ， 外表 端庄 。
有意者 请 发 邮件 到 eht009@hotmail.com"
洛桑 寻找 住家 保姆|还 要 人 吗 ， 工资 多少
招聘 楼面|" 沃州
招收 长期 楼面 一 名 , 女性 . 懂法 语 . 能够 接听 订餐 电话 .
有 一定 的 餐厅 工作 经验 . 本 餐厅 提供 吃 住 .
薪资 面议 .
联系 电话 0765336442 "
[ 招聘 ] 洛桑 餐厅 招聘 服务员 一 名|" [ 招聘 ] 洛桑 餐厅 招聘 服务员 一 名 ， 酒店 学生 一 名 洛桑 餐厅 招聘 服务员 一 名 ， 有 证件 会 法语 优先
另 招聘 酒店 学生 一 名
电话 0794353955
ming@ taiyo.ch "
招聘 瑞士 翻译 olten 附近|" 本 帖 最后 由 eht009 于 2012-10-213:31 编辑
招聘 瑞士 翻译 一 位 ， 要求 德语 或者 英语 流利 ， 普通话 标准 。
时间 ： 2012 年 10 月 11 日
地点 ： Tannwaldstrasse 101 CH 4600 Olten
公务 时间 两 个 小时
薪酬 面议
有意者 请 发 邮件 至 eht009@hotmail.com"
找 楼面|要求 会 德语 ， 有 经验 ， 吃苦耐劳 ， 有 驾照 优先 ， 工作 地点 LUZERN 04 19704339
lausanne 附近 餐厅 招聘 酒店 实习生|大家 好 ， 本 中餐厅 现 正在 招聘 一 名 酒店 实习 学生 ， 可于 12 月 中旬 开始 ， 实习期 为 6 个 月 ， 工作 合同 为 瑞士 法定 合同 。 实习 期间 包 吃 住 ， 由于 要 和 其他 女孩 合住 一起 ， 所以 只能 找 个 女生 ， 谢谢 理解 。 请 感 兴趣 的 朋友 和 我 email 联系 ， 交流 细节 问题 ， 谢谢 。 visclou@ yahoo.com
招聘 寿司 师傅|洛桑 招聘 寿司 师傅 只要 会 熟练 的 包 寿司 就 可以 包 吃 住 工资 2500 加 小费
lausanne 附近 餐厅 招 服务员|大家 好 ， 本 中餐厅 在 le mont sur lausanne , 现在 招聘 女 楼面 一 名 ， 可于 下月初 开工 ， 要求 能 熟练 掌握 餐厅 工作 ， 法语 流利 。 至于 具体 报酬 我们 可 细谈 ， 努力 做到 大家 都 满意 ， 有 拘留 证者 优先 ， 谢谢 理解 。 手机 电话 是 ， 07883 13927 。
招聘 德语 公务 翻译|" 如 题
时间 ： 2012 年 10 月 23 日 上午 9：00-11：00
地点 ： 洛桑 国际 管理 学院 IMD
要求 ： 中德文 流利 ， 熟悉 经管 及 科技 发展 类 ， 最好 有 过 相关 翻译 经验
费用 ： 面议
有意者 请 私信 联系 或 留下 您 的 联系 方式
谢谢 "
找 楼面|找 一个 法语 好 的 楼面 ， 没有 证 也 可以 ， 需要 法语 好 的 。 有意 的 朋友 站 内 联系 。 谢谢
洛桑找 看 小孩 的 阿姨 ( 已 找到 )|" 本 帖 最后 由 new.far 于 2012-10-2116:49 编辑
朋友 在 洛桑 ， 女儿 六 个 月 大 ， 她 自己 现在 要 上班 ， 想 找 位 阿姨 看 孩子 ， 有 什么 问题 都 直接 电话 联系 "
瑞士 国家 旅游局 招 实习生 或 短期 工|" 由 瑞士 国家 旅游局 ， SBB ， 瑞士 酒店 协会 Hostellerie Suisse 以及 瑞士 少女峰 缆车 公司 ， 瑞士 冰川 快车 和 黄金 快车 等 各 铁路 公司 共同 控股 的 Switzerland Travel Centre AG 主要 负责 瑞士 旅游 产品 在 世界各地 的 推广 以及 销售 与 操作 。 现 招 一 名 4 个 月 的 实习生 。 具体 细节 如下 》
工作 地点 : Binzstrasse 38 , 8045 Zurich
工作 任务 : 中国 十 大 旅游 批发商 订单 的 具体 操作 ， 主要 负责 酒店 以及 各 旅游 产品 的 预订 和 操作 ， 外加 中国 旅游 市场 的 开发 和 销售 。 具体 任务 会 再 分配
工作 时间 : 2012 年 12 月 至 2013 年 3 月 底 ， 是否 可以 续 签 或 转 成 正式 员工 看 个人 的 工作 能力 以及 中国 市场 的 具体 发展 状况 。
工资 待遇 : 面谈
具体 要求 : 瑞士 酒店 管理 , 旅游 管理 或者 经济 类 学生 ， 或者 持有 瑞士 合法 工作 许可 的 并 具有 相关 旅游 酒店 工作 经验 的 人士 ( 公司 不 帮忙 出 工作 B 证 ) ， 出于 沟通 需要 要求 会 熟练 掌握 德语 ， 英语 以及 中文 。 男女 年龄 不 限 。
符合 条件 或者 对 旅游 行业 感 兴趣 的 朋友 可以 把 您 的 英文 或者 德语 个人 简历 含 带 扫描 的 个人 照发 邮件 到 china@stc.ch ， 发 邮件 的 时候 请 注意 用 德语 或者 英语 写 。
联系人 : 黄 德顺
电话 : 0432105576
公司 网址 : http : //www.stc.ch /
谢谢 大家 把 这个 贴 转 个 你 身边 或者 符合 条件 的 朋友 。 非常 感谢 。 "
招聘 寿司 师傅|洛桑 招聘 寿司 师傅 只要 会 熟练 的 包 寿司 就 可以 包 吃 住 工资 2500 加 小费
洛桑 中餐 招 楼面|洛桑 郊区 中餐馆 招 楼面 一 名 ， 长工 ， 可以 马上 上班 ， 有 一定 经验 电话 0799566408
沃州 中餐 招聘|楼面 ， 厨房 工 ， 要求 有 瑞士 有效 证件 或 学生证 ， 有意 着 电话 联系 076 32884 15
招 女生 楼面 一 名 ！|" 如 题 ， 要求 ： 法语 流利 ， 有 工作 经验 （ 自己 可以 独立 操作 ） ， 全工 或者 半工都行 。
地点 ： 洛桑市 中心 电话 ： 021 3201818 "
中国 商店|" 本 帖 最后 由 浪漫 天使 于 2012-5-2812:00 编辑
洛桑 中国 商店 招 男 杂工 一 名 ， 待遇 面谈 ， 有意者 留言 。 "
olten 附近 公务 10 月 11 日 下午 2 点|" 招聘 瑞士 翻译 一 位 ， 要求 德语 或者 英语 流利 ， 普通话 标准 。
时间 ： 2012 年 10 月 11 日
地点 ： Tannwaldstrasse 101 CH 4600 Olten
公务 时间 两 个 小时
薪酬 面议
有意者 请 发 邮件 至 eht009@hotmail.com"
